"","behavior","burst","odba","mean.dxy","mean.dyz","mean.dxz","sd.dxy","sd.dyz","sd.dxz","cov.dxy","cov.dxz","cov.dyz","cor.dxy","cor.dxz","cor.dyz","sk.dx","ku.dx","sk.dy","ku.dy","sk.dz","ku.dz","max.dx","min.dx","amp.dx","max.dy","min.dy","amp.dy","max.dz","min.dz","amp.dz"
"2641","A_FLIGHT",23,18.4096162106496,0.0612512674491678,0.100485269186666,0.161736536635834,12.7009196191565,12.1226877270024,12.2256517274704,-25.4619729253771,-21.13044129054,-19.2506445718495,-0.461341563366271,-0.394267745018364,-0.3551401693268,-0.587779268716231,3.02838553142546,-0.16300507776815,1.93704758332673,-0.51484902128823,1.59279795302624,13.5789411028,-18.1195197152,31.698460818,13.8083331838,-13.7881154585,27.5964486423,10.2035780555,-12.332669478,22.5362475335
"2761","A_FLIGHT",24,19.9962508356971,0.0668341104758328,0.0648969792179158,0.131731089693749,11.8030075709517,13.8136868611796,14.6566619956553,-16.4442641128922,-21.0964220145444,-23.9760515439325,-0.321878010745842,-0.250055060446089,-0.378764734892855,-0.769404044500833,2.47524883771603,-0.792693029373189,3.69576553608684,-0.730932382244872,2.36914320106005,11.5575582382,-21.3978824836,32.9554407218,12.615424222,-15.0607314446,27.6761556666,14.412365845,-22.6428683998,37.0552342448
"2881","A_FLIGHT",25,17.9949359027033,-0.0104010070416672,0.103537607197916,0.0931366001562495,12.9420713537428,12.4614313716216,13.8066074623486,-22.4977271874642,-26.4003612555463,-18.3355563752245,-0.37190354762972,-0.383261301161164,-0.311769084887275,-0.63694337140794,2.92097654769185,-0.393861309151659,3.36282586095893,-0.467705260304867,2.90806378308444,16.6881707618,-18.9714397642,35.659610526,16.0711191002,-15.3052112656,31.3763303658,16.6063887276,-18.0998083422,34.7061970698
"3001","A_FLIGHT",26,20.1283123886733,-0.0102754167170823,0.0376753368804153,0.0273999201633332,14.0477223691574,15.9339549707873,11.9802422506883,-30.6448610526863,1.98168013370118,-42.7686505226876,-0.455890946380263,0.027540893123717,-0.509258423951681,-0.674537457003636,2.76613663948378,-0.817811852476377,2.58314390794391,-0.647673765431433,2.52466789930791,12.0348840634,-18.2613073618,30.2961914252,13.329993024,-19.7953506554,33.1253436794,14.9392993006,-20.2755458722,35.2148451728
"3121","A_FLIGHT",27,21.5328504010483,0.130613457330833,-0.143314957913333,-0.0127015005824997,14.8086222427505,15.6907426051577,13.7579800370485,-23.2618737289719,-21.73278683667,-46.5141110197364,-0.269523308312899,-0.300814151223879,-0.61697680156789,-0.628839712584149,2.20381088549951,-0.722314542970068,2.69652206723816,-0.517938698053417,2.49300973547534,12.9914565846,-21.0156089018,34.0070654864,14.2189245536,-22.1625003276,36.3814248812,13.8453421474,-16.5998586604,30.4452008078
"3241","A_FLIGHT",28,21.7486067384575,-0.13437767392,0.3505530090075,0.2161753350875,16.0550309976187,15.2661417554888,12.7778733046602,-41.8783279238943,0.636420284700197,-40.095368810136,-0.482428228143281,0.00780008667258717,-0.525595095132717,-0.506123578442071,2.42070694332127,-0.672301243652043,2.54824256199375,-0.674354779187731,2.32959986994475,14.2577918526,-23.08701992,37.3448117726,14.703471231,-18.3851398246,33.0886110556,12.674748817,-18.6100082722,31.2847570892
"3361","A_FLIGHT",29,12.3229781408367,-0.0219129045995847,0.113521034308751,0.0916081297091664,7.87150699719047,7.91917619886006,9.5039879276325,-9.02059260693513,-12.2076831840085,-9.02853741063621,-0.469405957690713,-0.370455720936354,-0.464596112175027,-0.237445391313476,2.46197077061233,-0.401572025016697,1.73220026774846,-0.220896741102214,1.71456115962134,12.271729689,-11.709045812,23.980775501,4.7327774846,-5.7415784234,10.474355908,8.5583197195,-9.447696124,18.0060158435
"3481","A_FLIGHT",30,19.9246032429671,0.145032587002083,0.0959044662941662,0.240937053296249,13.4972285984418,13.2847579564771,13.2406416899925,-26.08352727961,-20.7210320045878,-26.9478181460063,-0.402779783789339,-0.310040075535809,-0.439862999895999,-0.918615251545322,3.01147968522421,-0.721689431824431,2.30690546738458,-0.485441394560701,1.44064250659799,13.149311075,-19.6074927598,32.7568038348,11.3998167124,-16.9295199746,28.329336687,8.848265586,-11.7655435688,20.6138091548
"3601","A_FLIGHT",31,21.0269858212992,0.0232384430558325,0.0895354498724994,0.112773892928332,15.8282888173375,14.9999290914121,12.9630848659098,-39.4388160137921,-4.32111961257948,-39.5118369678006,-0.460918774227848,-0.054935304188394,-0.543272491259756,-0.860744201870739,2.76928875621041,-0.915978332390545,2.69831865511817,-0.789112059556741,2.53926332547496,13.0348528802,-22.770978798,35.8058316782,11.5664908684,-20.921248476,32.4877393444,10.9064120492,-20.45899351,31.3654055592
"3721","A_FLIGHT",32,18.7507903432633,-0.0112875480670832,0.106140208219167,0.0948526601520837,12.5747727965635,12.2285571892163,12.4231937030979,-21.4206229390508,-21.1905512605193,-19.8082119415172,-0.371673748259737,-0.378991024602773,-0.360572932834593,-0.653295646498549,1.91277463579245,-0.693571957450685,2.73995616877236,-0.780538084671906,2.63220073453653,9.4528868014,-15.8760961082,25.3289829096,14.0229591576,-19.1597710018,33.1827301594,9.6997421018,-18.7695172548,28.4692593566
