1 - min(mdcv$evaluation_log$val_mlogloss),booster,objective,max_depth,eta,subsample,colsample_bytree,min_child_weight
0.6940230000000001,gbtree,multi:softprob,7,0.27650806430960073,0.8452094922075049,0.6790720192715526,9
0.7072350000000001,gbtree,multi:softprob,6,0.2485261586611159,0.7846597891300916,0.6503469966351986,7
0.685778,gbtree,multi:softprob,10,0.2639788307156414,0.9129699055338278,0.6519322360865771,3
0.688473,gbtree,multi:softprob,6,0.020090470185969024,0.8850592228351161,0.7528162844479084,3
0.6935910000000001,gbtree,multi:softprob,7,0.1962392021762207,0.9698747347341851,0.9537219238467515,9
0.6787380000000001,gbtree,multi:softprob,4,0.2391907842736691,0.9079919720301405,0.8719678304158152,7
0.688994,gbtree,multi:softprob,3,0.0559274981287308,0.7276396597269922,0.6610844408161938,5
0.6795169999999999,gbtree,multi:softprob,8,0.2879043400310911,0.9254477354930714,0.7861973940394819,4
0.705862,gbtree,multi:softprob,6,0.06092364597599953,0.9227849665563553,0.9074279312975705,1
0.673702,gbtree,multi:softprob,10,0.025486182265449315,0.8901217190548778,0.6409350100904703,9
0.6997709999999999,gbtree,multi:softprob,5,0.07800209444714709,0.9864393825177104,0.8399678854271769,0
0.67737,gbtree,multi:softprob,9,0.20210679268231616,0.8749680030392483,0.9849314699880779,10
0.69292,gbtree,multi:softprob,8,0.08194292831001802,0.8626362699316814,0.9857332846149802,1
0.6897519999999999,gbtree,multi:softprob,4,0.13192549152998254,0.8754671602509916,0.8906388306990265,4
0.6975899999999999,gbtree,multi:softprob,10,0.036708066256251184,0.9412772940704599,0.8385468436405062,5
0.6917519999999999,gbtree,multi:softprob,3,0.18297008341643958,0.96900605824776,0.6586576461791992,0
0.679541,gbtree,multi:softprob,9,0.23405978891067206,0.8810827757464722,0.9892660222016275,1
0.696956,gbtree,multi:softprob,10,0.1163983394135721,0.7463831572560593,0.9648210450075567,2
0.691226,gbtree,multi:softprob,5,0.0860235252091661,0.7475919144460931,0.7083781176246703,10
0.679103,gbtree,multi:softprob,5,0.251421785200946,0.7930487141013145,0.7285954468883574,7
0.695362,gbtree,multi:softprob,7,0.10851638236083089,0.9136788967065513,0.7209416226483881,0
0.624862,gbtree,multi:softprob,4,0.017148623978719114,0.8726998200174421,0.995913858152926,10
0.6766650000000001,gbtree,multi:softprob,6,0.12038612210191785,0.9741115870187059,0.8750050994567573,7
0.693682,gbtree,multi:softprob,10,0.2790942433010787,0.9512840591371059,0.8511218297295272,8
0.690933,gbtree,multi:softprob,5,0.20966098444536327,0.9966201943112537,0.6554390862584114,5
0.7111529999999999,gbtree,multi:softprob,4,0.1166801030607894,0.7477921847254038,0.6242666982114314,2
0.6921930000000001,gbtree,multi:softprob,4,0.25331383259734136,0.8215037694899365,0.8106658820062875,6
0.707222,gbtree,multi:softprob,6,0.052039569311309604,0.7727248150855303,0.7065298304893076,2
0.70251,gbtree,multi:softprob,6,0.06829300653655082,0.8198296998860314,0.9964365468360483,1
0.692847,gbtree,multi:softprob,5,0.20187637698138133,0.9430177198490128,0.833379840478301,3
0.677843,gbtree,multi:softprob,6,0.25363153916550796,0.9380537268472835,0.8524550038389862,9
0.7149639999999999,gbtree,multi:softprob,5,0.058965902714990075,0.8119322373298927,0.7914687478914857,0
0.6775450000000001,gbtree,multi:softprob,4,0.08152062898501752,0.7534426864003763,0.8678887237794697,10
0.689668,gbtree,multi:softprob,10,0.0592152460059151,0.7969288040883838,0.8116797774098814,9
0.6937249999999999,gbtree,multi:softprob,9,0.19668383936863393,0.7207122894469649,0.6913767607882619,7
0.693148,gbtree,multi:softprob,3,0.20068888518959282,0.8519944641506298,0.8746807303279638,2
0.5598620000000001,gbtree,multi:softprob,5,0.010065835700370371,0.7624344296753406,0.9516365671530366,10
0.7004790000000001,gbtree,multi:softprob,9,0.07508097046753391,0.9726031000260263,0.6276244819164276,1
0.70145,gbtree,multi:softprob,5,0.1014504204224795,0.9904293091734871,0.899360332172364,1
0.69543,gbtree,multi:softprob,5,0.1801923729898408,0.8656301521928981,0.8099445193074644,2
0.6783509999999999,gbtree,multi:softprob,4,0.21282288378803058,0.883568026451394,0.6997239110991359,3
0.694535,gbtree,multi:softprob,5,0.2626888101454824,0.9566574835916981,0.7398833169601857,4
0.693608,gbtree,multi:softprob,7,0.12669145031366497,0.802046794234775,0.8988154209218919,3
0.681524,gbtree,multi:softprob,3,0.05778100244235247,0.9436210919171572,0.6643090192228556,9
0.682698,gbtree,multi:softprob,4,0.17922235172707587,0.7456942769233137,0.8590562017634511,6
0.693085,gbtree,multi:softprob,4,0.1000043441611342,0.981128337024711,0.680331548396498,4
0.699782,gbtree,multi:softprob,5,0.08632682396797463,0.8560076535912231,0.8267532316967845,3
0.696733,gbtree,multi:softprob,10,0.04273222331656143,0.7079202894121408,0.9294110689312219,5
0.703299,gbtree,multi:softprob,4,0.048311593018006534,0.9607967685675248,0.8076446027494967,1
0.650845,gbtree,multi:softprob,5,0.015706773444544523,0.8167858464643358,0.8365750061348081,4
0.6869730000000001,gbtree,multi:softprob,3,0.22605929509270936,0.7509653405984863,0.8945122580975293,5
0.704295,gbtree,multi:softprob,10,0.19741393137257546,0.8667959988582878,0.8181401653215289,5
0.707733,gbtree,multi:softprob,5,0.22963801423786206,0.8616141159087419,0.6971704110503196,2
0.694868,gbtree,multi:softprob,9,0.24048136310651896,0.9222515701083467,0.7122654981911183,5
0.686196,gbtree,multi:softprob,9,0.19454055931186304,0.7879514957778155,0.8019315551966428,7
0.684165,gbtree,multi:softprob,6,0.12326560000889002,0.8472852237289772,0.855057523958385,9
0.692435,gbtree,multi:softprob,9,0.21696128491312264,0.8456744647352025,0.9950284556485712,9
0.685332,gbtree,multi:softprob,4,0.08120470294263213,0.9119114316767082,0.8009261474013328,8
0.7035199999999999,gbtree,multi:softprob,6,0.0647234024410136,0.988265165197663,0.6724801803007722,0
0.6940219999999999,gbtree,multi:softprob,6,0.12675280451774595,0.7173695080215111,0.7650015180930495,8
0.694458,gbtree,multi:softprob,7,0.10621302830986677,0.8064651575405151,0.7487064865417778,9
0.677458,gbtree,multi:softprob,5,0.22126780183752998,0.7303017816506325,0.6610458304174244,9
0.685297,gbtree,multi:softprob,5,0.1913222083216533,0.8435090788407251,0.7404209879226983,10
0.696511,gbtree,multi:softprob,10,0.047561831572093066,0.7189905057195574,0.8581997429952025,0
0.690948,gbtree,multi:softprob,8,0.10665529052261262,0.8643697756109758,0.9015820391476155,9
0.690852,gbtree,multi:softprob,5,0.21355726154521107,0.8065521498909219,0.9963112478144467,7
0.688353,gbtree,multi:softprob,3,0.10555981943616642,0.7888618717435747,0.6390358174219727,5
0.704391,gbtree,multi:softprob,9,0.12128653642022981,0.8179552559973672,0.6285205950960516,3
